"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000177757.1",34.9952664045688,0.138164588282572,0.414631163929919,0.333222874453124,0.738966052555696,0.894794168355059,"FAM87B","400728"
"ENSG00000225880.4",330.237991050384,0.159669639959738,0.293302027699762,0.544386417004874,0.586175590840438,0.818585555844071,"LINC00115","79854"
"ENSG00000228794.4",1088.5085345548,0.431706178322886,0.16470192732097,2.62113616607279,0.00876372506902626,0.120238606960183,"LINC01128","643837"
"ENSG00000230368.2",5.56308325799635,0.80650269924806,0.672058949819626,1.20004755455532,0.230120872107392,0.542979803261141,"FAM41C","284593"
"ENSG00000234711.1",2.77079171128705,-0.802222630320987,0.824401714418352,-0.973096751608513,0.33050521836072,0.636979213594448,NA,NA
"ENSG00000269308.1",0.182757267113045,0.0724615324214358,2.57725116849173,0.0281158209596785,0.977569775760658,NA,NA,NA
"ENSG00000272438.1",4.86316708160041,-1.10465503752119,0.605101644495892,-1.8255693858533,0.0679151507196966,0.313652609032596,NA,NA
"ENSG00000230699.2",27.0608471176219,-0.822638907905767,0.354376385437202,-2.32137055885047,0.0202668530858844,0.180449851854543,NA,NA
"ENSG00000223764.2",144.566936136057,-0.480626682561249,0.393526622360444,-1.22133206561316,0.221960317293121,0.534519482091637,"LINC02593","100130417"
"ENSG00000187634.6",370.152556160891,-0.503699796513672,0.464072314038127,-1.08539074897773,0.277748627947804,0.590023918229773,"SAMD11","148398"
"ENSG00000268179.1",0.139636797330761,0.665361595453497,3.22687372271156,0.206193874514057,0.836639472474297,NA,NA,NA
"ENSG00000188976.6",3479.14330310325,0.0892814473965469,0.0981739842107892,0.909420638413236,0.363128131769265,0.664646255011536,"NOC2L","26155"
"ENSG00000187961.9",1004.36413356249,-0.321285378552307,0.22895969524873,-1.40323989426732,0.160545314867979,0.464094960397295,"KLHL17","339451"
"ENSG00000187583.6",126.123928768619,0.288355751688883,0.419906629487664,0.686713977439963,0.492262987130823,0.759029508394664,"PLEKHN1","84069"
"ENSG00000187642.5",48.564128302682,0.447572688561579,0.318868225052415,1.40362900219364,0.160429354175132,0.464094960397295,"PERM1","84808"
"ENSG00000272512.1",141.647045533502,-0.241891596609248,0.372296175185976,-0.649728932854102,0.515867331427229,0.774496695363993,NA,NA
"ENSG00000188290.6",436.432482684686,0.21289933658765,0.343824770661471,0.619208837624065,0.535778790583749,0.787151022197442,"HES4","57801"
"ENSG00000231702.2",4.16905198138946,-0.225075925119436,0.62794868501522,-0.358430442630803,0.720021213044275,0.88773974259934,NA,NA
"ENSG00000224969.1",6.22738883526725,0.203321602417841,0.620923329640941,0.327450415714634,0.743327240023182,0.896611398135137,NA,NA
